# Phonon dispersion from ShengBTE
# Path: G -> K -> M -> G
# Tick positions:
#       G  d = 0.000000
#       K  d = 1.710820
#       M  d = 2.566230
#       G  d = 4.047844
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        0.000000         0.000000         0.000000         0.000000         0.000000         0.000000         0.000000        26.874348        48.105724        48.105724
        0.008597         0.001675         0.001675         0.000000         0.008983         0.207396         0.326273        26.873946        48.104501        48.107646
        0.017194         0.003350         0.003350         0.000000         0.018574         0.395626         0.617329        26.873402        48.102888        48.110263
        0.025791         0.005025         0.005025         0.000000         0.027935         0.586158         0.909625        26.872311        48.099640        48.115426
        0.034388         0.006700         0.006700         0.000000         0.037871         0.780768         1.211819        26.870820        48.095199        48.122523
        0.042985         0.008375         0.008375         0.000000         0.048622         0.971349         1.508829        26.869038        48.089909        48.130997
        0.051583         0.010050         0.010050         0.000000         0.059236         1.167367         1.810865        26.866602        48.082672        48.142364
        0.060180         0.011725         0.011725         0.000000         0.071178         1.358808         2.110636        26.864016        48.075015        48.154562
        0.068777         0.013400         0.013400         0.000000         0.083199         1.553882         2.410507        26.860742        48.065338        48.169543
        0.077374         0.015075         0.015075         0.000000         0.096297         1.747033         2.710625        26.857209        48.054918        48.185761
        0.085971         0.016750         0.016750         0.000000         0.110241         1.940028         3.009791        26.853238        48.043243        48.203707
        0.094568         0.018425         0.018425         0.000000         0.124877         2.134066         3.308552        26.848758        48.030114        48.223581
        0.103165         0.020101         0.020100         0.000000         0.140738         2.325630         3.608066        26.844084        48.016443        48.244404
        0.111762         0.021776         0.021776         0.000000         0.157245         2.520177         3.904766        26.838656        48.000671        48.267515
        0.120359         0.023451         0.023451         0.000000         0.174927         2.712241         4.202965        26.833069        47.984457        48.291455
        0.128956         0.025126         0.025126         0.000000         0.193637         2.905394         4.499095        26.826897        47.966668        48.316971
        0.137553         0.026801         0.026801         0.000000         0.213367         3.097982         4.795119        26.820357        47.947881        48.343634
        0.146150         0.028476         0.028476         0.000000         0.234227         3.289662         5.091178        26.813476        47.928194        48.371274
        0.154748         0.030151         0.030151         0.000000         0.256229         3.482585         5.384777        26.805978        47.906919        48.400145
        0.163345         0.031826         0.031826         0.000000         0.279207         3.673355         5.679995        26.798318        47.885194        48.429711
        0.171942         0.033501         0.033501         0.000000         0.303609         3.866040         5.971709        26.789923        47.861680        48.460222
        0.180539         0.035176         0.035176         0.000000         0.328944         4.057101         6.264280        26.781298        47.837559        48.491360
