# Phonon dispersion from ShengBTE
# Path: G -> X -> K -> G -> L
# Tick positions:
#       G  d = 0.000000
#       X  d = 1.149293
#       K  d = 2.057889
#       G  d = 3.276898
#       L  d = 4.272215
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        0.000000         0.000000         0.000000         0.000000         0.000000         0.000000         0.000000        15.309511        15.309511        15.309511
        0.005775         0.000000         0.002513         0.002513         0.066464         0.066464         0.141768        15.307709        15.307901        15.308062
        0.011551         0.000000         0.005025         0.005025         0.128708         0.128708         0.265051        15.305968        15.306300        15.306943
        0.017326         0.000000         0.007538         0.007538         0.186732         0.186732         0.369848        15.304290        15.304709        15.306155
        0.023101         0.000000         0.010050         0.010050         0.240535         0.240535         0.456160        15.302673        15.303126        15.305698
        0.028877         0.000000         0.012563         0.012563         0.290117         0.290117         0.523986        15.301119        15.301553        15.305571
        0.034652         0.000000         0.015075         0.015075         0.335479         0.335479         0.573327        15.299626        15.299989        15.305774
        0.040427         0.000000         0.017588         0.017588         0.376621         0.376621         0.604183        15.298196        15.298434        15.306309
        0.046203         0.000000         0.020101         0.020101         0.413542         0.413542         0.616553        15.296827        15.296889        15.307173
        0.051978         0.000000         0.022613         0.022613         0.451004         0.463812         0.699994        15.292990        15.293077        15.306001
        0.057753         0.000000         0.025126         0.025126         0.492517         0.519334         0.807989        15.288147        15.288328        15.304185
        0.063529         0.000000         0.027638         0.027638         0.537199         0.573256         0.904716        15.283334        15.283578        15.302702
        0.069304         0.000000         0.030151         0.030151         0.585050         0.625578         0.990174        15.278553        15.278827        15.301551
        0.075079         0.000000         0.032663         0.032663         0.636070         0.676299         1.064363        15.273802        15.274074        15.300733
        0.080855         0.000000         0.035176         0.035176         0.690259         0.725421         1.127283        15.269083        15.269321        15.300247
        0.086630         0.000000         0.037688         0.037688         0.747616         0.772942         1.178933        15.264394        15.264566        15.300094
        0.092405         0.000000         0.040201         0.040201         0.808142         0.818864         1.219315        15.259737        15.259809        15.300272
        0.098181         0.000000         0.042714         0.042714         0.861410         0.867399         1.281687        15.253715        15.253747        15.299299
        0.103956         0.000000         0.045226         0.045226         0.902906         0.920684         1.381960        15.245750        15.245843        15.296566
        0.109732         0.000000         0.047739         0.047739         0.947086         0.973003         1.474645        15.237785        15.237922        15.294147
        0.115507         0.000000         0.050251         0.050251         0.993951         1.024354         1.559743        15.229822        15.229982        15.292042
        0.121282         0.000000         0.052764         0.052764         1.043499         1.074739         1.637252        15.221859        15.222024        15.290250
        0.127058         0.000000         0.055276         0.055276         1.095732         1.124158         1.707174        15.213898        15.214048        15.288773
        0.132833         0.000000         0.057789         0.057789         1.150648         1.172610         1.769507        15.205937        15.206053        15.287609
        0.138608         0.000000         0.060302         0.060302         1.208249         1.220095         1.824253        15.197978        15.198040        15.286759
        0.144384         0.000000         0.062814         0.062814         1.266108         1.267316         1.878224        15.189639        15.189642        15.285752
        0.150159         0.000000         0.065327         0.065327         1.309101         1.318637         1.973586        15.178622        15.178641        15.281748
        0.155934         0.000000         0.067839         0.067839         1.353762         1.369261         2.063655        15.167574        15.167606        15.278038
        0.161710         0.000000         0.070352         0.070352         1.400092         1.419189         2.148430        15.156495        15.156535        15.274623
        0.167485         0.000000         0.072864         0.072864         1.448092         1.468420         2.227911        15.145385        15.145428        15.271502
        0.173260         0.000000         0.075377         0.075377         1.497760         1.516955         2.302099        15.134245        15.134285        15.268675
        0.179036         0.000000         0.077889         0.077889         1.549097         1.564793         2.370993        15.123074        15.123107        15.266142
        0.184811         0.000000         0.080402         0.080402         1.602103         1.611935         2.434594        15.111873        15.111893        15.263903
        0.190586         0.000000         0.082915         0.082915         1.656778         1.658380         2.492902        15.100641        15.100644        15.261958
        0.196362         0.000000         0.085427         0.085427         1.702488         1.706696         2.578331        15.087203        15.087223        15.257002
        0.202137         0.000000         0.087940         0.087940         1.746944         1.754960         2.666350        15.073285        15.073323        15.251665
        0.207912         0.000000         0.090452         0.090452         1.792202         1.802672         2.750602        15.059320        15.059369        15.246609
        0.213688         0.000000         0.092965         0.092965         1.838262         1.849832         2.831087        15.045307        15.045362        15.241833
        0.219463         0.000000         0.095477         0.095477         1.885122         1.896438         2.907806        15.031248        15.031302        15.237337
        0.225238         0.000000         0.097990         0.097990         1.932784         1.942492         2.980758        15.017142        15.017188        15.233122
        0.231014         0.000000         0.100503         0.100503         1.981247         1.987994         3.049944        15.002989        15.003021        15.229187
        0.236789         0.000000         0.103015         0.103015         2.030512         2.032942         3.115363        14.988789        14.988801        15.225533
        0.242564         0.000000         0.105528         0.105528         2.076679         2.077926         3.191794        14.973451        14.973472        15.219946
        0.248340         0.000000         0.108040         0.108040         2.119835         2.122926         3.277778        14.957141        14.957193        15.212766
        0.254115         0.000000         0.110553         0.110553         2.163125         2.167466         3.361051        14.940782        14.940855        15.205863
        0.259890         0.000000         0.113065         0.113065         2.206549         2.211546         3.441614        14.924375        14.924459        15.199237
        0.265666         0.000000         0.115578         0.115578         2.250108         2.255167         3.519466        14.907919        14.908004        15.192888
        0.271441         0.000000         0.118090         0.118090         2.293801         2.298327         3.594608        14.891414        14.891491        15.186817
        0.277216         0.000000         0.120603         0.120603         2.337628         2.341028         3.667039        14.874861        14.874919        15.181022
        0.282992         0.000000         0.123116         0.123116         2.381589         2.383269         3.736760        14.858260        14.858288        15.175506
        0.288767         0.000000         0.125628         0.125628         2.424893         2.424914         3.808473        14.841301        14.841304        15.169239
        0.294542         0.000000         0.128141         0.128141         2.465647         2.465736         3.892058        14.823373        14.823385        15.160176
        0.300318         0.000000         0.130653         0.130653         2.506040         2.506178         3.973688        14.805404        14.805422        15.151399
        0.306093         0.000000         0.133166         0.133166         2.546072         2.546239         4.053361        14.787395        14.787416        15.142908
